title,pubDate,link
"Assurance : entre SCOR et Covéa, la fin d’une guerre fratricide de près de trois ans","Thu, 10 Jun 2021 19:40:50 +0200",https://www.lemonde.fr/economie/article/2021/06/10/covea-contraint-de-se-desengager-de-scor_6083643_3234.html
Les eurodéputés demandent une interdiction progressive des élevages en cage,"Thu, 10 Jun 2021 19:40:26 +0200",https://www.lemonde.fr/planete/article/2021/06/10/les-eurodeputes-demandent-une-interdiction-progressive-des-elevages-en-cage_6083642_3244.html
"E3 2021 : en marge du Salon du jeu vidéo de Los Angeles, suivez en direct la soirée de lancement du Summer Game Fest","Thu, 10 Jun 2021 18:42:19 +0200",https://www.lemonde.fr/pixels/article/2021/06/10/salon-du-jeu-video-de-los-angeles-le-programme-et-les-liens-pour-suivre-l-e3-2021_6083639_4408996.html
Le Sénat adopte une proposition de loi créant un titre-restaurant étudiant,"Thu, 10 Jun 2021 18:35:13 +0200",https://www.lemonde.fr/societe/article/2021/06/10/le-senat-adopte-une-proposition-de-loi-creant-un-titre-restaurant-etudiant_6083638_3224.html
Emmanuel Macron annonce « la fin de l’opération Barkhane » au Sahel,"Thu, 10 Jun 2021 16:00:16 +0200",https://www.lemonde.fr/politique/live/2021/06/10/en-direct-suivez-la-conference-de-presse-d-emmanuel-macron_6083623_823448.html
« Nous nous tenons prêts à ouvrir le 30 juin » : l’espoir des patrons de discothèques pour cet été,"Thu, 10 Jun 2021 17:49:15 +0200",https://www.lemonde.fr/economie/article/2021/06/10/nous-nous-tenons-prets-a-ouvrir-le-30-juin-l-espoir-des-patrons-de-discotheques-pour-cet-ete_6083632_3234.html
Pleins feux sur l’éclipse solaire partielle au-dessus de l’hémisphère nord,"Thu, 10 Jun 2021 17:37:59 +0200",https://www.lemonde.fr/sciences/article/2021/06/10/pleins-feux-sur-l-eclipse-solaire-partielle-au-dessus-de-l-hemisphere-nord_6083631_1650684.html
L’homme qui a giflé Emmanuel Macron condamné à dix-huit mois de prison dont quatre ferme,"Thu, 10 Jun 2021 16:25:05 +0200",https://www.lemonde.fr/politique/article/2021/06/10/le-parquet-requiert-18-mois-de-prison-contre-l-auteur-de-la-gifle-a-emmanuel-macron_6083626_823448.html
Le Conseil d’Etat juge illégal le recours à la technique des « nasses » par les forces de l’ordre en manifestation,"Thu, 10 Jun 2021 15:14:30 +0200",https://www.lemonde.fr/police-justice/article/2021/06/10/le-conseil-d-etat-juge-illegal-le-recours-a-la-technique-des-nasses-par-les-forces-de-l-ordre-lors-des-manifestations_6083619_1653578.html
« Islamo-gauchisme » à l’université : la ministre Frédérique Vidal accusée d’abus de pouvoir devant le Conseil d’Etat,"Thu, 10 Jun 2021 15:12:55 +0200",https://www.lemonde.fr/societe/article/2021/06/10/islamo-gauchisme-a-l-universite-la-ministre-frederique-vidal-accusee-d-abus-de-pouvoir-devant-le-conseil-d-etat_6083618_3224.html
Agressions sexuelles dans l’Eglise : le pape François refuse la démission du cardinal Reinhard Marx,"Thu, 10 Jun 2021 15:09:29 +0200",https://www.lemonde.fr/international/article/2021/06/10/agressions-sexuelles-dans-l-eglise-le-pape-francois-refuse-la-demission-du-cardinal-reinhard-marx_6083617_3210.html
Crise climatique et de la biodiversité : 50 spécialistes mondiaux appellent à une lutte commune,"Thu, 10 Jun 2021 15:00:44 +0200",https://www.lemonde.fr/climat/article/2021/06/10/crise-climatique-et-de-la-biodiversite-50-specialistes-mondiaux-appellent-a-une-lutte-commune_6083616_1652612.html
